PPM,Amp
1.88177,3.24355e-09
2.06574,1.17333e-08
2.19078,9.80635e-09
2.28187,1.77247e-07
2.3523,4.39923e-08
2.40863,5.65084e-08
2.45495,6.56074e-08
2.49407,5.05575e-07
2.52711,4.96595e-07
2.55632,3.4905e-07
2.58128,2.22618e-07
2.60393,4.70783e-07
2.62412,5.23931e-07
2.64216,5.19025e-07
2.65852,5.11863e-07
2.67316,5.03878e-07
2.68689,5.41779e-07
2.69991,5.25919e-07
2.71105,6.70327e-07
2.72229,8.4597e-07
2.73289,7.31248e-07
2.74203,7.26558e-07
2.74636,2.43571e-07
2.75004,7.0311e-07
2.75869,7.26289e-07
2.76587,7.27703e-07
2.76967,1.40658e-07
2.77334,6.10232e-07
2.77815,2.9269e-07
2.78024,4.99663e-07
2.78432,3.43546e-07
2.78685,5.53189e-07
2.79308,6.58763e-07
2.79901,7.54022e-07
2.80468,8.30758e-07
2.8052,1.23442e-06
2.80999,8.77232e-07
2.81506,9.30107e-07
2.81993,1.03495e-06
2.82462,1.09391e-06
2.82908,1.2616e-06
2.83095,6.02498e-08
2.83344,1.42171e-06
2.83759,1.44888e-06
2.84181,1.55968e-06
2.84531,1.31463e-06
2.84669,5.50236e-07
2.84885,1.30155e-06
2.85076,6.31899e-07
2.85243,1.22428e-06
2.85367,7.18663e-07
2.85593,1.42034e-06
2.85725,6.74868e-07
2.85916,1.22227e-06
2.86021,7.8732e-07
2.86231,1.40298e-06
2.8635,5.64916e-07
2.86536,1.4393e-06
2.86659,5.47809e-07
2.86838,1.37574e-06
2.86953,4.55429e-07
2.8712,1.27775e-06
2.87227,3.2309e-07
2.87397,1.40092e-06
2.87523,3.48555e-07
2.87672,9.17285e-07
2.87763,3.95297e-07
2.87917,7.09444e-07
2.87929,9.3152e-07
2.88036,1.69555e-06
2.88439,1.3614e-06
2.88683,1.32382e-06
2.88907,1.43512e-06
2.89136,1.19878e-06
2.89157,1.12327e-07
2.89345,8.97573e-07
2.89554,1.1245e-06
2.89688,1.82e-06
2.89771,8.65249e-07
2.8998,1.12775e-06
2.90186,1.2698e-06
2.90358,1.71659e-06
2.90536,1.78339e-06
2.90743,2.02336e-06
2.90916,2.03637e-06
2.91092,2.0438e-06
2.91265,2.32224e-06
2.91428,2.13976e-06
2.91593,2.37706e-06
2.91752,2.23229e-06
2.91907,2.34641e-06
2.92056,2.18091e-06
2.92206,2.42617e-06
2.92351,2.1365e-06
2.92489,2.65253e-06
2.92634,2.35594e-06
2.92765,2.43946e-06
2.92896,2.87853e-06
2.93033,2.32884e-06
2.93164,3.19992e-06
2.93293,2.50168e-06
2.93413,3.14789e-06
2.93523,4.48242e-07
2.93541,2.69079e-06
2.93643,1.96913e-06
2.93752,1.52325e-06
2.93767,1.97035e-06
2.93886,1.52539e-06
2.93996,1.05792e-06
2.94023,6.90796e-07
2.94113,1.12687e-06
2.94156,1.90771e-06
2.94488,3.82628e-06
2.94853,3.99349e-06
2.95139,1.57244e-06
