Distance_(pixels),Gray_Value
530,1.592
531,0.769
532,7.465
533,7.513
534,2.639
535,0.000
536,0.206
537,0.000
538,0.919
539,7.807
540,4.325
541,1.353
542,2.127
543,6.144
544,2.771
545,1.277
546,0.210
547,0.000
548,0.000
549,0.106
550,6.868
551,2.485
552,0.000
553,0.000
554,0.000
555,0.867
556,1.453
557,0.000
558,0.215
559,4.150
560,9.973
561,4.949
562,0.450
563,0.000
564,1.674
565,7.217
566,9.251
567,3.685
568,0.000
569,1.114
570,1.447
571,0.000
572,0.000
573,0.000
574,0.000
575,0.000
576,0.000
577,0.445
578,0.889
579,0.000
580,0.000
581,0.000
582,0.000
583,0.442
584,0.000
585,0.000
586,0.000
587,1.435
588,1.762
589,0.000
590,0.568
591,7.416
592,8.266
593,2.850
594,1.714
595,5.290
596,2.875
597,0.437
598,1.024
599,0.000
600,0.000
601,0.116
602,0.579
603,0.116
604,1.930
605,2.397
606,1.000
607,0.117
608,0.000
609,0.469
610,0.920
611,1.647
612,1.411
613,0.000
614,0.118
615,0.763
616,1.837
617,1.356
618,1.142
619,1.000
620,0.214
621,0.000
622,0.120
623,0.000
624,0.000
625,0.639
626,0.333
627,0.454
628,1.396
629,0.637
630,0.000
631,0.212
632,2.964
633,6.173
634,7.211
635,9.012
636,4.342
637,0.000
638,0.000
639,0.421
640,1.333
641,1.037
642,1.865
643,0.457
644,0.124
645,0.248
646,0.000
647,0.000
648,0.000
649,0.000
650,0.000
651,0.125
652,0.000
653,0.000
654,0.000
655,0.207
656,0.207
657,0.000
658,0.207
659,1.652
660,1.159
661,4.680
662,6.588
663,1.687
664,0.000
665,0.000
666,0.974
667,0.000
668,0.000
669,1.637
670,1.333
671,0.387
672,0.129
673,0.000
674,0.130
675,2.814
676,2.829
677,0.000
678,0.000
679,0.000
680,0.203
681,0.940
682,2.142
683,1.061
684,0.939
685,1.008
686,0.604
687,0.000
688,0.000
689,0.000
690,1.805
691,4.337
692,3.134
693,2.067
694,2.336
695,1.337
696,0.000
697,0.000
698,0.000
699,2.983
700,0.199
701,0.000
702,0.000
703,1.783
704,1.781
705,0.000
706,0.000
707,0.000
708,0.667
709,1.318
710,1.120
711,0.000
712,0.137
713,2.019
714,2.980
715,0.392
716,0.138
717,0.000
718,0.000
719,0.000
720,0.000
721,2.582
722,5.528
723,0.612
724,0.139
725,0.000
726,0.000
727,0.000
728,0.000
729,0.000
730,0.000
731,0.000
732,0.000
733,1.769
734,3.333
735,1.990
736,0.000
737,0.575
738,3.907
739,0.000
740,0.000
741,0.000
742,0.143
743,4.094
744,7.472
745,4.283
746,1.097
747,0.000
748,0.000
749,0.477
750,0.522
751,0.856
752,4.799
753,5.494
754,1.086
755,0.000
756,1.248
757,3.126
758,2.667
759,2.083
760,5.146
761,5.131
762,4.333
763,5.079
764,5.333
765,1.619
766,0.442
767,0.000
768,0.000
769,0.185
770,0.889
771,0.297
772,0.297
773,0.000
774,0.000
775,0.368
776,0.149
777,0.149
778,1.197
779,2.649
780,3.551
781,2.418
782,1.947
783,1.913
784,2.175
785,5.011
786,3.185
787,3.028
788,1.516
789,0.152
790,0.000
791,0.457
792,1.095
793,0.000
794,0.000
795,5.290
796,1.802
797,0.000
798,0.180
799,1.976
800,2.153
801,1.050
802,0.309
803,0.000
804,0.691
805,0.465
806,0.620
807,0.000
808,0.000
809,0.000
810,0.000
811,0.000
812,0.531
813,0.177
814,0.000
815,0.000
816,0.000
817,0.000
818,0.944
819,2.703
820,3.456
821,2.053
822,2.689
823,1.267
824,1.110
825,2.063
826,0.954
827,0.000
828,0.000
829,0.333
830,0.521
831,0.000
832,0.160
833,0.692
834,1.383
835,0.161
836,0.506
837,2.562
838,2.129
839,1.193
840,1.889
841,0.000
842,1.676
843,6.018
844,4.273
845,3.284
846,2.318
847,5.244
848,4.660
849,0.163
850,0.170
851,1.357
852,0.169
853,0.000
854,1.333
855,2.991
856,5.988
857,5.681
858,3.521
859,5.524
860,5.353
861,5.697
862,2.673
863,0.498
864,0.000
865,0.666
866,3.000
867,1.999
868,2.999
869,2.998
870,3.993
871,1.829
872,0.497
873,1.158
874,1.652
875,3.960
876,4.285
877,0.988
878,0.498
879,5.701
880,3.476
881,4.751
882,3.770
883,1.634
884,0.000
885,0.000
886,0.000
887,0.000
888,0.000
889,0.000
890,0.000
891,0.000
892,0.162
893,4.041
894,4.011
895,5.333
896,7.000
897,3.553
898,3.248
899,0.000
900,0.000
901,0.000
902,1.438
903,0.000
904,0.000
905,0.000
906,0.000
907,0.000
908,0.175
909,2.798
910,1.051
911,1.423
912,5.210
913,0.351
914,0.000
915,0.000
916,0.000
917,0.000
918,0.000
919,0.000
920,0.000
921,0.000
922,0.156
923,0.355
924,1.111
925,0.000
926,0.000
927,0.000
928,0.536
929,1.072
930,0.179
931,0.000
932,0.308
933,0.000
934,0.000
935,0.153
936,0.460
937,0.180
938,0.000
939,1.084
940,1.989
941,2.963
942,0.181
943,2.582
944,1.000
945,1.091
946,0.000
947,0.000
948,0.000
949,0.000
950,0.000
951,0.000
952,0.000
953,0.000
954,1.348
955,0.000
956,0.000
957,2.308
958,5.278
959,2.863
960,0.000
961,0.667
962,4.965
963,4.073
964,3.777
965,0.000
966,0.000
967,0.000
968,0.000
969,0.000
970,1.067
971,1.187
972,0.480
973,0.000
974,0.730
975,3.853
976,4.934
977,3.975
978,3.333
979,1.160
980,0.290
981,0.000
982,0.000
983,0.000
984,0.000
985,0.000
986,0.000
987,0.000
988,0.000
989,0.000
990,0.429
991,0.428
992,1.046
993,1.045
994,0.000
995,0.000
996,3.259
997,1.132
998,0.000
999,0.192
1000,0.385
1001,0.000
1002,0.000
1003,0.000
1004,0.000
1005,0.000
1006,0.000
1007,0.473
1008,0.333
1009,2.865
1010,1.501
1011,1.250
1012,0.195
1013,0.000
1014,0.528
1015,2.000
1016,2.702
1017,3.761
1018,1.567
1019,0.000
1020,0.196
1021,0.589
1022,0.393
1023,0.394
1024,0.788
1025,0.333
1026,0.000
1027,0.000
1028,0.000
1029,0.000
1030,0.000
1031,0.000
1032,0.000
1033,0.000
1034,1.393
1035,1.991
1036,4.853
1037,3.542
1038,0.935
1039,0.000
1040,0.000
1041,1.330
1042,3.725
1043,4.605
1044,6.214
1045,2.540
1046,0.667
1047,0.000
1048,0.000
1049,0.263
1050,0.404
1051,0.202
1052,0.916
1053,0.000
1054,2.433
1055,0.609
1056,0.000
1057,0.853
1058,4.183
1059,0.000
1060,0.000
1061,0.000
1062,0.000
1063,0.258
1064,0.000
1065,0.000
1066,2.051
1067,7.051
1068,6.872
1069,0.000
1070,0.000
1071,1.648
1072,5.063
1073,3.761
1074,1.287
1075,0.000
1076,0.000
1077,0.000
1078,0.000
1079,0.377
1080,0.753
1081,0.251
1082,0.000
1083,0.125
1084,1.996
1085,2.953
1086,5.249
1087,3.255
1088,0.961
1089,0.667
1090,1.667
1091,3.729
1092,3.992
1093,0.000
1094,0.123
1095,0.981
1096,0.367
1097,0.000
1098,0.122
1099,0.731
1100,0.000
1101,0.000
1102,0.000
1103,0.000
1104,0.333
1105,2.184
1106,0.638
1107,0.426
1108,0.000
1109,0.000
1110,0.000
1111,0.000
1112,0.478
1113,2.024
1114,1.333
1115,1.617
1116,0.237
1117,0.000
1118,0.000
1119,0.000
1120,0.000
1121,1.529
1122,2.194
1123,0.586
1124,0.000
1125,0.000
1126,0.000
1127,0.000
1128,0.651
1129,0.000
1130,0.000
1131,0.000
1132,0.333
1133,2.398
1134,1.539
1135,2.471
1136,1.481
1137,3.323
1138,4.726
1139,4.333
1140,0.658
1141,0.000
1142,0.659
1143,0.660
1144,0.000
1145,0.441
1146,3.220
1147,4.099
1148,3.996
1149,1.547
1150,2.434
1151,0.221
1152,0.000
1153,0.000
1154,0.000
1155,0.222
1156,2.890
1157,3.002
1158,1.000
1159,0.890
1160,2.339
1161,0.770
1162,1.768
1163,3.914
1164,3.885
1165,5.448
1166,6.648
1167,5.109
1168,5.232
1169,0.984
1170,0.000
1171,0.000
1172,0.000
1173,0.108
1174,0.752
1175,3.751
1176,0.642
1177,0.000
1178,0.960
1179,4.917
1180,6.681
1181,1.469
1182,0.000
1183,1.057
1184,0.422
1185,0.000
1186,0.000
1187,0.210
1188,0.000
1189,0.000
1190,0.458
1191,3.521
1192,12.752
1193,36.050
1194,52.910
1195,54.608
1196,57.770
1197,42.485
1198,36.918
1199,29.462
1200,16.306
1201,11.826
1202,7.183
1203,7.981
1204,11.328
1205,9.926
1206,7.683
1207,10.172
1208,2.859
1209,3.024
1210,11.899
1211,3.935
1212,0.300
1213,1.000
1214,0.800
1215,0.468
1216,1.035
1217,1.234
1218,2.343
1219,2.543
1220,3.286
1221,0.000
1222,0.000
1223,0.000
1224,3.257
1225,0.000
1226,0.000
1227,0.486
1228,1.945
1229,2.795
1230,1.420
1231,0.000
1232,0.000
1233,0.237
1234,0.475
1235,2.568
1236,6.051
1237,0.000
1238,0.000
1239,0.000
1240,0.095
1241,4.154
1242,4.440
1243,0.659
