Distance_(pixels),Gray_Value
454,3.4315
455,3.7504
456,4.7418
457,6.3362
458,1.8521
459,0.4015
460,1.7343
461,1.0653
462,4.5373
463,6.8683
464,13.5696
465,14.9157
466,12.7574
467,11.0000
468,4.0555
469,3.2513
470,3.2582
471,5.8232
472,6.8192
473,5.8469
474,0.0000
475,0.0000
476,0.0000
477,4.2045
478,1.4575
479,0.8365
480,6.4339
481,6.0006
482,4.2195
483,3.8764
484,1.7314
485,6.2126
486,6.1756
487,1.4067
488,0.3333
489,3.6384
490,0.3518
491,2.5257
492,0.1964
493,0.3882
494,5.8995
495,5.7579
496,8.5968
497,7.5280
498,3.7400
499,0.0000
500,0.0000
501,5.9821
502,1.7400
503,1.2652
504,14.9700
505,9.6256
506,13.0924
507,16.3322
508,10.0907
509,0.9821
510,0.0000
511,2.1427
512,6.8406
513,3.4437
514,3.3755
515,6.5841
516,8.5534
517,23.9682
518,12.6210
519,26.7886
520,19.4032
521,10.9029
522,1.5875
523,1.1756
524,3.9220
525,12.1502
526,10.7054
527,11.6534
528,11.6384
529,15.3328
530,15.2669
531,14.6014
532,6.3426
533,0.5592
534,8.0456
535,18.1508
536,25.7175
537,9.1155
538,4.2571
539,0.1098
540,4.2906
541,7.9584
542,10.4142
543,9.3923
544,2.4009
545,5.6280
546,2.0786
547,6.8573
548,22.4356
549,23.7897
550,15.8908
551,0.1652
552,0.1011
553,2.1664
554,1.1727
555,0.1144
556,0.0000
557,0.3449
558,4.0000
559,7.2189
560,7.1369
561,6.5003
562,4.3247
563,4.7071
564,1.9624
565,0.0000
566,0.1271
567,4.0751
568,5.0936
569,0.4211
570,1.3252
571,5.3125
572,3.3536
573,1.6759
574,2.9896
575,3.3218
576,5.9896
577,8.0000
578,0.0035
579,0.0162
580,1.6753
581,1.6759
582,1.0116
583,5.9757
584,6.6222
585,0.0370
586,1.4113
587,10.3160
588,11.6667
589,5.9099
590,3.6141
591,8.5696
592,5.6147
593,4.2501
594,7.9509
595,6.5939
596,0.3992
597,6.3102
598,20.9757
599,15.7585
600,12.3345
601,9.4726
602,6.6089
603,12.7747
604,11.7660
605,2.9255
606,0.5026
607,2.0867
608,8.4697
609,17.8521
610,6.7811
611,5.6470
612,8.0711
613,11.6031
614,5.6199
615,4.2634
616,11.1352
617,23.5378
618,7.9763
619,1.2912
620,0.1987
621,2.4887
622,3.3807
623,0.0266
624,4.6938
625,9.9451
626,5.8931
627,4.2600
628,3.6667
629,4.6337
630,9.1225
631,7.9064
632,0.0000
633,1.8382
634,5.6049
635,6.4974
636,3.3333
637,0.0000
638,0.8943
639,2.4408
640,1.2241
641,2.8891
642,3.3333
643,1.7712
644,3.5355
645,1.5881
646,2.3588
647,2.8382
648,3.6973
649,8.0815
650,11.6667
651,6.6499
652,2.8931
653,5.3772
654,4.0445
655,4.3605
656,5.7579
657,5.4258
658,5.2397
659,14.1947
660,24.0456
661,20.4535
662,1.5997
663,0.0994
664,0.2831
665,0.0000
666,6.2022
667,12.0855
668,0.5615
669,0.9469
670,0.7631
671,1.9081
672,22.4858
673,25.2802
674,11.5517
675,5.4339
676,2.8284
677,5.3778
678,4.4916
679,4.1381
680,3.8209
681,0.4206
682,3.5754
683,6.3946
684,1.9139
685,3.7077
686,7.8556
687,1.0635
688,1.3333
689,4.7412
690,8.8042
691,9.0618
692,2.4650
693,0.6031
694,7.1490
695,23.6823
696,8.5667
697,2.9041
698,4.6129
699,11.7695
700,12.6280
701,6.3114
702,6.7054
703,13.7585
704,15.5806
705,3.7770
706,3.1098
707,10.6245
708,12.8198
709,9.3703
710,6.9232
711,9.1785
712,9.9648
713,10.5690
714,8.4367
715,4.9133
716,1.5985
717,0.2525
718,0.0000
719,1.2461
720,2.8406
721,0.2501
722,4.2496
723,6.5823
724,1.4905
725,2.2305
726,4.3224
727,4.6066
728,1.5078
729,0.0000
730,0.7348
731,4.3986
732,7.5176
733,1.6037
734,0.4535
735,0.7262
736,4.8977
737,4.6667
738,6.7054
739,9.3218
740,6.3616
741,7.7088
742,23.6632
743,33.0907
744,17.4298
745,5.7343
746,1.7574
747,1.3749
748,1.6049
749,1.4679
750,0.8001
751,3.6667
752,11.1121
753,11.7799
754,3.6176
755,2.1843
756,8.8602
757,16.3177
758,10.5950
759,8.7360
760,12.1953
761,14.1733
762,6.3715
763,4.8706
764,2.0000
765,0.2247
766,2.7759
767,4.5609
768,2.3356
769,6.8914
770,18.0965
771,13.2929
772,3.1034
773,2.5661
774,4.4633
775,5.0098
776,2.5864
777,2.0000
778,0.8839
779,1.9671
780,14.8827
781,14.3466
782,1.3992
783,2.0231
784,1.4350
785,4.0930
786,6.0052
787,4.8481
788,3.1219
789,5.1906
790,8.5280
791,6.9139
792,6.1698
793,5.8752
794,4.7065
795,4.2889
796,3.2189
797,0.7626
798,3.8723
799,5.5390
800,4.5153
801,6.0393
802,8.1635
803,8.2888
804,5.7267
805,5.1155
806,10.1063
807,8.9301
808,6.5979
809,1.1958
810,0.0000
811,0.9370
812,2.5055
813,2.4547
814,3.2796
815,5.0583
816,10.8856
817,14.5014
818,3.5904
819,1.3980
820,4.1924
821,13.0399
822,16.1600
823,13.7470
824,7.4772
825,7.0526
826,6.1329
827,12.3328
828,14.6066
829,16.0734
830,8.9769
831,9.0416
832,16.7926
833,9.8873
834,16.2461
835,20.6615
836,10.2120
837,7.9486
838,12.1826
839,10.7348
840,0.8481
841,0.4575
842,1.3062
843,3.2577
844,4.1490
845,0.8452
846,1.5113
847,1.2415
848,2.7880
849,9.0427
850,2.0716
851,5.6667
852,4.7759
853,4.9711
854,1.5465
855,3.3940
856,2.3663
857,0.3333
858,3.1363
859,8.8873
860,5.3079
861,6.7551
862,1.3252
863,2.4841
864,2.6615
865,2.8359
866,2.9977
867,2.5095
868,1.3304
869,5.1404
870,9.2761
871,4.5968
872,1.1404
873,2.0000
874,3.4656
875,3.0988
876,0.1727
877,0.6401
878,0.5217
879,4.3148
880,10.6592
881,2.8781
882,1.5667
883,7.5153
884,12.9636
885,16.3963
886,20.9451
887,13.3189
888,8.2363
889,5.4419
890,4.9434
891,45.1895
892,31.6187
893,16.1982
894,13.3293
895,13.0283
896,9.7048
897,14.6464
898,9.0046
899,11.1485
900,3.9746
901,9.1716
902,9.2952
903,6.6667
904,13.1993
905,15.9047
906,15.3125
907,4.0913
908,0.0000
909,0.1918
910,1.3466
911,5.7886
912,4.1502
913,1.6372
914,3.3865
915,11.3611
916,12.2542
917,18.1606
918,26.3166
919,8.0254
920,1.9185
921,0.8076
922,3.1479
923,15.9988
924,12.5477
925,4.5396
926,3.3495
927,5.8637
928,1.2166
929,2.1531
930,17.5014
931,11.8198
932,14.6424
933,18.5384
934,12.0745
935,8.2871
936,1.6592
937,5.3276
938,18.9197
939,17.4310
940,13.5696
941,19.1837
942,26.7828
943,13.9676
944,8.7597
945,6.0474
946,2.7712
947,9.2241
948,8.3333
949,2.3992
950,1.7845
951,2.2964
952,1.0832
953,5.3033
954,8.0890
955,6.9884
956,3.7221
957,3.2929
958,3.5661
959,6.4598
960,12.5719
961,9.3299
962,1.6667
963,3.5679
964,10.7192
965,13.5864
966,15.5396
967,20.4009
968,3.9780
969,0.0000
970,2.4974
971,4.4391
972,3.4720
973,6.4310
974,12.8718
975,14.5644
976,13.0676
977,7.5685
978,7.5199
979,7.9209
980,4.6401
981,4.0664
982,7.0225
983,3.4812
984,7.2889
985,11.3096
986,16.2958
987,22.4466
988,26.8354
989,16.9965
990,10.3790
991,0.4783
992,1.6782
993,8.7591
994,11.0953
995,10.4622
996,3.8769
997,12.0543
998,13.6580
999,16.3784
1000,5.6002
1001,2.0884
1002,8.0878
1003,8.1277
1004,7.7868
1005,10.8827
1006,9.3073
1007,5.6349
1008,0.9960
1009,2.7470
1010,5.3351
1011,11.8319
1012,30.1028
1013,8.6216
1014,3.2034
1015,5.9879
1016,6.9492
1017,3.7793
1018,3.4714
1019,1.0214
1020,0.5118
1021,6.9988
1022,5.1612
1023,0.3784
1024,3.1594
1025,1.8117
1026,3.8908
1027,12.1340
1028,13.4598
1029,11.0832
1030,4.6915
1031,3.6719
1032,1.4229
1033,3.6828
1034,9.1843
1035,13.4084
1036,16.7724
1037,2.4102
1038,1.5979
1039,1.4616
1040,2.7741
1041,4.3333
1042,2.0647
1043,0.3847
1044,7.2530
1045,5.9370
1046,0.0000
1047,2.3091
1048,3.3541
1049,0.6066
1050,6.6724
1051,5.0716
1052,1.4529
1053,2.7585
1054,0.0000
1055,1.6568
1056,5.1005
1057,9.9440
1058,6.6101
1059,5.3599
1060,4.7603
1061,0.1075
1062,1.7585
1063,7.8255
1064,5.6147
1065,5.3333
1066,0.5084
1067,1.7088
1068,1.5609
1069,6.7545
1070,11.9936
1071,1.5344
1072,0.1421
1073,0.3801
1074,1.0266
1075,0.5754
1076,3.6846
1077,3.0676
1078,0.0000
1079,0.0000
1080,1.4529
1081,29.3934
1082,15.9168
1083,6.2969
1084,3.9804
1085,0.0000
1086,2.3333
1087,9.7527
1088,1.6002
1089,0.7088
1090,1.8122
1091,4.3218
1092,7.9752
1093,1.6857
1094,2.1386
1095,4.7880
1096,2.1323
1097,10.1398
1098,8.9549
1099,0.0000
1100,6.7504
1101,22.4454
1102,16.7839
1103,7.5615
1104,0.7088
1105,1.1982
1106,8.3894
1107,2.1433
1108,0.7730
1109,8.4327
1110,13.2629
1111,9.2195
1112,4.0179
1113,0.0000
1114,6.9440
1115,8.2074
1116,0.3772
1117,0.7094
1118,2.5188
1119,5.9295
1120,5.8429
1121,4.1236
1122,7.6857
1123,10.7851
1124,10.1733
1125,7.0503
1126,8.2946
1127,5.7192
1128,6.0479
1129,12.6678
1130,11.9850
1131,25.1340
1132,24.9549
1133,24.8902
1134,3.8729
1135,0.0220
1136,0.0624
1137,3.3333
1138,8.4910
1139,13.4847
1140,0.0162
1141,4.2733
1142,11.6667
1143,36.4789
1144,9.4084
1145,0.7187
1146,1.9723
1147,9.3495
1148,12.2467
1149,15.3218
1150,24.2848
1151,0.6944
1152,0.6817
1153,0.9983
1154,0.0000
1155,0.6655
1156,0.0439
1157,8.6545
1158,15.2548
1159,16.5338
1160,12.6528
1161,3.6788
1162,0.9861
1163,6.3749
1164,9.0173
1165,8.5650
1166,11.9237
1167,8.9624
1168,8.9838
1169,4.0693
1170,11.0924
1171,10.1473
1172,5.3229
1173,5.8024
1174,0.0000
1175,1.4547
1176,15.5748
1177,9.1594
1178,5.3472
1179,9.7966
1180,12.0780
1181,7.3235
1182,10.2392
1183,7.3368
1184,2.6840
1185,3.5771
1186,3.4627
1187,2.3050
1188,4.1375
1189,5.6164
1190,8.9376
1191,12.7221
1192,5.5269
1193,6.9601
1194,13.0399
1195,14.5534
1196,2.1635
1197,4.0104
1198,11.7995
1199,7.6147
1200,6.1594
1201,2.7678
1202,6.0277
1203,11.0474
1204,9.1976
1205,6.7938
1206,4.0601
1207,13.8163
1208,19.6488
1209,11.2062
1210,14.2392
1211,16.7285
1212,27.0953
1213,28.1103
1214,3.2987
1215,2.7753
1216,6.6199
1217,4.4541
1218,3.8527
1219,6.9203
1220,0.5338
1221,0.0000
1222,2.6869
1223,10.6886
1224,11.8689
1225,6.9844
