ppm,val
-1.103343,-0.003611
-1.102976,-0.003527
-1.102609,-0.003422
-1.102243,-0.003297
-1.101876,-0.003155
-1.101509,-0.003002
-1.101143,-0.002847
-1.100776,-0.002697
-1.100409,-0.002555
-1.100042,-0.002423
-1.099676,-0.002299
-1.099309,-0.002185
-1.098942,-0.002079
-1.098576,-0.001983
-1.098209,-0.001901
-1.097842,-0.001836
-1.097476,-0.001788
-1.097109,-0.001756
-1.096742,-0.001742
-1.096376,-0.001750
-1.096009,-0.001786
-1.095642,-0.001856
-1.095276,-0.001964
-1.094909,-0.002109
-1.094542,-0.002282
-1.094176,-0.002470
-1.093809,-0.002660
-1.093442,-0.002840
-1.093076,-0.003004
-1.092709,-0.003151
-1.092342,-0.003281
-1.091976,-0.003396
-1.091609,-0.003495
-1.091242,-0.003579
-1.090876,-0.003651
-1.090509,-0.003714
-1.090142,-0.003776
-1.089775,-0.003840
-1.089409,-0.003906
-1.089042,-0.003969
-1.088675,-0.004019
-1.088309,-0.004053
-1.087942,-0.004070
-1.087575,-0.004075
-1.087209,-0.004074
-1.086842,-0.004066
-1.086475,-0.004049
-1.086109,-0.004020
-1.085742,-0.003977
-1.085375,-0.003927
-1.085009,-0.003875
-1.084642,-0.003829
-1.084275,-0.003790
-1.083909,-0.003763
-1.083542,-0.003750
-1.083175,-0.003759
-1.082809,-0.003792
-1.082442,-0.003847
-1.082075,-0.003917
-1.081709,-0.003991
-1.081342,-0.004065
-1.080975,-0.004132
-1.080609,-0.004193
-1.080242,-0.004246
-1.079875,-0.004293
-1.079508,-0.004335
-1.079142,-0.004371
-1.078775,-0.004400
-1.078408,-0.004418
-1.078042,-0.004421
-1.077675,-0.004409
-1.077308,-0.004385
-1.076942,-0.004354
-1.076575,-0.004323
-1.076208,-0.004297
-1.075842,-0.004278
-1.075475,-0.004264
-1.075108,-0.004253
-1.074742,-0.004237
-1.074375,-0.004212
-1.074008,-0.004178
-1.073642,-0.004141
-1.073275,-0.004109
-1.072908,-0.004089
-1.072542,-0.004083
-1.072175,-0.004086
-1.071808,-0.004090
-1.071442,-0.004088
-1.071075,-0.004078
-1.070708,-0.004063
-1.070342,-0.004050
-1.069975,-0.004048
-1.069608,-0.004061
-1.069241,-0.004083
-1.068875,-0.004106
-1.068508,-0.004120
-1.068141,-0.004118
-1.067775,-0.004099
-1.067408,-0.004060
-1.067041,-0.004003
-1.066675,-0.003929
-1.066308,-0.003848
-1.065941,-0.003771
-1.065575,-0.003713
-1.065208,-0.003688
-1.064841,-0.003701
-1.064475,-0.003751
-1.064108,-0.003829
-1.063741,-0.003921
-1.063375,-0.004017
-1.063008,-0.004113
-1.062641,-0.004207
-1.062275,-0.004302
-1.061908,-0.004398
-1.061541,-0.004489
-1.061175,-0.004562
-1.060808,-0.004608
-1.060441,-0.004618
-1.060075,-0.004593
-1.059708,-0.004537
-1.059341,-0.004461
-1.058974,-0.004378
-1.058608,-0.004299
-1.058241,-0.004239
-1.057874,-0.004209
-1.057508,-0.004214
-1.057141,-0.004249
-1.056774,-0.004306
-1.056408,-0.004370
-1.056041,-0.004425
-1.055674,-0.004459
-1.055308,-0.004463
-1.054941,-0.004431
-1.054574,-0.004361
-1.054208,-0.004253
-1.053841,-0.004112
-1.053474,-0.003947
-1.053108,-0.003773
-1.052741,-0.003607
-1.052374,-0.003467
-1.052008,-0.003365
-1.051641,-0.003304
-1.051274,-0.003283
-1.050908,-0.003296
-1.050541,-0.003336
-1.050174,-0.003400
-1.049808,-0.003482
-1.049441,-0.003578
-1.049074,-0.003680
-1.048707,-0.003782
-1.048341,-0.003875
-1.047974,-0.003955
-1.047607,-0.004019
-1.047241,-0.004070
-1.046874,-0.004110
-1.046507,-0.004142
-1.046141,-0.004167
-1.045774,-0.004192
-1.045407,-0.004223
-1.045041,-0.004270
-1.044674,-0.004339
-1.044307,-0.004436
-1.043941,-0.004556
-1.043574,-0.004695
-1.043207,-0.004845
-1.042841,-0.004996
-1.042474,-0.005145
-1.042107,-0.005287
-1.041741,-0.005419
-1.041374,-0.005535
-1.041007,-0.005629
-1.040641,-0.005694
-1.040274,-0.005730
-1.039907,-0.005743
-1.039541,-0.005739
-1.039174,-0.005725
-1.038807,-0.005703
-1.038440,-0.005667
-1.038074,-0.005611
-1.037707,-0.005529
-1.037340,-0.005419
-1.036974,-0.005287
-1.036607,-0.005139
-1.036240,-0.004982
-1.035874,-0.004821
-1.035507,-0.004661
-1.035140,-0.004510
-1.034774,-0.004373
-1.034407,-0.004252
-1.034040,-0.004146
-1.033674,-0.004054
-1.033307,-0.003973
-1.032940,-0.003898
-1.032574,-0.003825
-1.032207,-0.003752
-1.031840,-0.003679
-1.031474,-0.003611
-1.031107,-0.003553
-1.030740,-0.003512
-1.030374,-0.003489
-1.030007,-0.003484
-1.029640,-0.003496
-1.029274,-0.003529
-1.028907,-0.003582
-1.028540,-0.003656
-1.028173,-0.003744
-1.027807,-0.003836
-1.027440,-0.003924
-1.027073,-0.004001
-1.026707,-0.004067
-1.026340,-0.004125
-1.025973,-0.004176
-1.025607,-0.004222
-1.025240,-0.004262
-1.024873,-0.004297
-1.024507,-0.004330
-1.024140,-0.004359
-1.023773,-0.004385
-1.023407,-0.004407
-1.023040,-0.004425
-1.022673,-0.004441
-1.022307,-0.004454
-1.021940,-0.004467
-1.021573,-0.004482
-1.021207,-0.004498
-1.020840,-0.004515
-1.020473,-0.004530
-1.020107,-0.004540
-1.019740,-0.004545
-1.019373,-0.004546
-1.019007,-0.004547
-1.018640,-0.004554
-1.018273,-0.004568
-1.017906,-0.004591
-1.017540,-0.004617
-1.017173,-0.004638
-1.016806,-0.004646
-1.016440,-0.004631
-1.016073,-0.004592
-1.015706,-0.004528
-1.015340,-0.004444
-1.014973,-0.004351
-1.014606,-0.004255
-1.014240,-0.004167
-1.013873,-0.004093
-1.013506,-0.004036
-1.013140,-0.003998
-1.012773,-0.003974
-1.012406,-0.003959
-1.012040,-0.003948
-1.011673,-0.003935
-1.011306,-0.003921
-1.010940,-0.003912
-1.010573,-0.003915
-1.010206,-0.003937
-1.009840,-0.003979
-1.009473,-0.004035
-1.009106,-0.004094
-1.008740,-0.004145
-1.008373,-0.004182
-1.008006,-0.004203
-1.007639,-0.004213
-1.007273,-0.004215
-1.006906,-0.004211
-1.006539,-0.004200
-1.006173,-0.004175
-1.005806,-0.004132
-1.005439,-0.004071
-1.005073,-0.003998
-1.004706,-0.003924
-1.004339,-0.003862
-1.003973,-0.003819
-1.003606,-0.003798
-1.003239,-0.003798
-1.002873,-0.003821
-1.002506,-0.003867
-1.002139,-0.003938
-1.001773,-0.004031
-1.001406,-0.004141
-1.001039,-0.004260
-1.000673,-0.004377
-1.000306,-0.004482
-0.999939,-0.004565
-0.999573,-0.004621
-0.999206,-0.004651
-0.998839,-0.004665
-0.998472,-0.004677
-0.998106,-0.004698
-0.997739,-0.004737
-0.997372,-0.004791
-0.997006,-0.004853
-0.996639,-0.004911
-0.996272,-0.004952
-0.995906,-0.004963
-0.995539,-0.004939
-0.995172,-0.004885
-0.994806,-0.004810
-0.994439,-0.004729
-0.994072,-0.004653
-0.993706,-0.004587
-0.993339,-0.004530
-0.992972,-0.004478
-0.992606,-0.004428
-0.992239,-0.004381
-0.991872,-0.004337
-0.991506,-0.004295
-0.991139,-0.004253
-0.990772,-0.004207
-0.990406,-0.004156
-0.990039,-0.004103
-0.989672,-0.004048
-0.989306,-0.003989
-0.988939,-0.003923
-0.988572,-0.003848
-0.988205,-0.003767
-0.987839,-0.003683
-0.987472,-0.003604
-0.987105,-0.003532
-0.986739,-0.003470
-0.986372,-0.003416
-0.986005,-0.003373
-0.985639,-0.003341
-0.985272,-0.003326
-0.984905,-0.003328
-0.984539,-0.003343
-0.984172,-0.003361
-0.983805,-0.003376
-0.983439,-0.003383
-0.983072,-0.003385
-0.982705,-0.003388
-0.982339,-0.003394
-0.981972,-0.003403
-0.981605,-0.003409
-0.981239,-0.003409
-0.980872,-0.003404
-0.980505,-0.003397
-0.980139,-0.003392
-0.979772,-0.003388
-0.979405,-0.003386
-0.979039,-0.003387
-0.978672,-0.003396
-0.978305,-0.003419
-0.977938,-0.003459
-0.977572,-0.003517
-0.977205,-0.003592
-0.976838,-0.003683
-0.976472,-0.003786
-0.976105,-0.003894
-0.975738,-0.003995
-0.975372,-0.004077
-0.975005,-0.004131
-0.974638,-0.004154
-0.974272,-0.004153
-0.973905,-0.004137
-0.973538,-0.004118
-0.973172,-0.004098
-0.972805,-0.004075
-0.972438,-0.004048
-0.972072,-0.004016
-0.971705,-0.003990
-0.971338,-0.003978
-0.970972,-0.003986
-0.970605,-0.004013
-0.970238,-0.004051
-0.969872,-0.004085
-0.969505,-0.004107
-0.969138,-0.004109
-0.968772,-0.004091
-0.968405,-0.004057
-0.968038,-0.004019
-0.967671,-0.003990
-0.967305,-0.003981
-0.966938,-0.004001
-0.966571,-0.004054
-0.966205,-0.004139
-0.965838,-0.004252
-0.965471,-0.004383
-0.965105,-0.004518
-0.964738,-0.004644
-0.964371,-0.004748
-0.964005,-0.004824
-0.963638,-0.004873
-0.963271,-0.004896
-0.962905,-0.004898
-0.962538,-0.004882
-0.962171,-0.004851
-0.961805,-0.004803
-0.961438,-0.004743
-0.961071,-0.004672
-0.960705,-0.004594
-0.960338,-0.004508
-0.959971,-0.004414
-0.959605,-0.004307
-0.959238,-0.004190
-0.958871,-0.004068
-0.958505,-0.003952
-0.958138,-0.003851
-0.957771,-0.003767
-0.957404,-0.003700
-0.957038,-0.003644
-0.956671,-0.003593
-0.956304,-0.003546
-0.955938,-0.003502
-0.955571,-0.003458
-0.955204,-0.003412
-0.954838,-0.003363
-0.954471,-0.003313
-0.954104,-0.003268
-0.953738,-0.003234
-0.953371,-0.003216
-0.953004,-0.003219
-0.952638,-0.003239
-0.952271,-0.003272
-0.951904,-0.003308
-0.951538,-0.003338
-0.951171,-0.003359
-0.950804,-0.003373
-0.950438,-0.003388
-0.950071,-0.003413
-0.949704,-0.003454
-0.949338,-0.003511
-0.948971,-0.003580
-0.948604,-0.003655
-0.948238,-0.003729
-0.947871,-0.003796
-0.947504,-0.003855
-0.947137,-0.003909
-0.946771,-0.003965
-0.946404,-0.004029
-0.946037,-0.004106
-0.945671,-0.004193
-0.945304,-0.004285
-0.944937,-0.004373
-0.944571,-0.004448
-0.944204,-0.004505
-0.943837,-0.004543
-0.943471,-0.004564
-0.943104,-0.004568
-0.942737,-0.004556
-0.942371,-0.004530
-0.942004,-0.004492
-0.941637,-0.004448
-0.941271,-0.004408
-0.940904,-0.004382
-0.940537,-0.004379
-0.940171,-0.004402
-0.939804,-0.004453
-0.939437,-0.004524
-0.939071,-0.004613
-0.938704,-0.004713
-0.938337,-0.004825
-0.937971,-0.004946
-0.937604,-0.005072
-0.937237,-0.005196
-0.936870,-0.005306
-0.936504,-0.005393
-0.936137,-0.005448
-0.935770,-0.005471
-0.935404,-0.005467
-0.935037,-0.005438
-0.934670,-0.005391
-0.934304,-0.005330
-0.933937,-0.005263
-0.933570,-0.005196
-0.933204,-0.005134
-0.932837,-0.005078
-0.932470,-0.005025
-0.932104,-0.004976
-0.931737,-0.004933
-0.931370,-0.004898
-0.931004,-0.004875
-0.930637,-0.004864
-0.930270,-0.004865
-0.929904,-0.004878
-0.929537,-0.004901
-0.929170,-0.004931
-0.928804,-0.004965
-0.928437,-0.004995
-0.928070,-0.005018
-0.927704,-0.005035
-0.927337,-0.005051
-0.926970,-0.005076
-0.926603,-0.005112
-0.926237,-0.005155
-0.925870,-0.005190
-0.925503,-0.005205
-0.925137,-0.005190
-0.924770,-0.005142
-0.924403,-0.005064
-0.924037,-0.004963
-0.923670,-0.004848
-0.923303,-0.004731
-0.922937,-0.004620
-0.922570,-0.004519
-0.922203,-0.004421
-0.921837,-0.004319
-0.921470,-0.004207
-0.921103,-0.004086
-0.920737,-0.003964
-0.920370,-0.003854
-0.920003,-0.003768
-0.919637,-0.003713
-0.919270,-0.003690
-0.918903,-0.003694
-0.918537,-0.003718
-0.918170,-0.003754
-0.917803,-0.003798
-0.917437,-0.003845
-0.917070,-0.003892
-0.916703,-0.003937
-0.916336,-0.003979
-0.915970,-0.004016
-0.915603,-0.004043
-0.915236,-0.004051
-0.914870,-0.004031
-0.914503,-0.003982
-0.914136,-0.003904
-0.913770,-0.003802
-0.913403,-0.003683
-0.913036,-0.003555
-0.912670,-0.003428
-0.912303,-0.003313
-0.911936,-0.003223
-0.911570,-0.003166
-0.911203,-0.003150
-0.910836,-0.003179
-0.910470,-0.003249
-0.910103,-0.003352
-0.909736,-0.003474
-0.909370,-0.003601
-0.909003,-0.003720
-0.908636,-0.003824
-0.908270,-0.003913
-0.907903,-0.003986
-0.907536,-0.004049
-0.907170,-0.004103
-0.906803,-0.004152
-0.906436,-0.004199
-0.906069,-0.004249
-0.905703,-0.004308
-0.905336,-0.004384
-0.904969,-0.004484
-0.904603,-0.004607
-0.904236,-0.004749
-0.903869,-0.004895
-0.903503,-0.005030
-0.903136,-0.005142
-0.902769,-0.005224
-0.902403,-0.005273
-0.902036,-0.005289
-0.901669,-0.005272
-0.901303,-0.005223
-0.900936,-0.005144
-0.900569,-0.005043
-0.900203,-0.004928
-0.899836,-0.004810
-0.899469,-0.004700
-0.899103,-0.004610
-0.898736,-0.004545
