PPM,Amp
0.196062,1.78435e-08
0.472698,4.41541e-08
0.661764,6.95542e-08
0.801657,5.82291e-08
0.909432,1.24054e-07
0.995935,2.81985e-07
1.06654,2.89879e-07
1.12744,5.00283e-08
1.17974,3.51589e-07
1.22364,5.73756e-07
1.26363,6.07986e-08
1.2993,5.67456e-07
1.32995,5.06469e-07
1.35859,5.11999e-07
1.38478,6.10521e-07
1.40957,6.77347e-07
1.43006,1.06886e-06
1.44996,6.56817e-07
1.46815,6.89863e-07
1.48451,7.30925e-07
1.50065,8.19142e-07
1.51597,5.84667e-07
1.52949,7.47808e-07
1.54284,6.08057e-07
1.55467,6.95142e-07
1.56649,5.58377e-07
1.57706,7.35898e-07
1.58781,7.21596e-07
1.59773,6.95712e-07
1.60695,6.33791e-07
1.61602,6.13664e-07
1.62444,6.15755e-07
1.63275,6.24201e-07
1.64054,6.5177e-07
1.64793,6.88087e-07
1.65511,6.19333e-07
1.66199,6.12075e-07
1.66855,5.63539e-07
1.67465,6.14926e-07
1.67702,2.79429e-07
1.68067,7.19494e-07
1.68713,7.95578e-07
1.69234,9.00118e-07
1.69815,9.54656e-07
1.70322,1.04409e-06
1.70831,1.06719e-06
1.71331,1.03976e-06
1.71804,1.06123e-06
1.72269,1.06578e-06
1.72722,1.10467e-06
1.7316,1.21243e-06
1.73577,1.20582e-06
1.7374,2.36026e-07
1.73995,1.2696e-06
1.74366,1.22377e-06
1.74753,1.34852e-06
1.75132,1.37424e-06
1.7548,1.28644e-06
1.75837,1.29677e-06
1.76197,1.31408e-06
1.7654,1.31443e-06
1.76862,1.31771e-06
1.7718,1.33887e-06
1.775,1.35919e-06
1.77802,1.21701e-06
1.77925,2.77385e-07
1.781,1.21397e-06
1.78215,3.29916e-07
1.78389,1.13168e-06
1.78647,1.40028e-06
1.78936,1.24981e-06
1.79207,1.36289e-06
1.79468,1.23127e-06
1.79728,1.3267e-06
1.80007,1.06747e-06
1.80018,4.31614e-07
1.80251,9.19183e-07
1.8027,6.56125e-07
1.80461,9.61178e-07
1.80698,9.35148e-07
1.80932,1.31291e-06
1.81149,8.80574e-07
1.81401,1.34611e-06
1.81609,1.30688e-06
1.81825,1.78144e-06
1.82038,1.56378e-06
1.8224,2.08664e-06
1.82442,1.78393e-06
1.82643,2.20935e-06
1.82838,2.1993e-06
1.83024,2.15029e-06
1.83212,2.27316e-06
1.83396,2.19071e-06
1.83577,2.29811e-06
1.83754,2.24218e-06
1.8393,2.34373e-06
1.841,2.3827e-06
1.84272,2.59098e-06
1.8444,2.48081e-06
1.84605,2.60547e-06
1.84763,2.644e-06
1.84922,2.59346e-06
1.85079,2.63176e-06
1.8523,2.47773e-06
1.85376,2.52824e-06
1.85522,2.55761e-06
1.85666,2.45624e-06
1.85808,2.54187e-06
1.85952,2.70067e-06
1.86102,2.64611e-06
1.86243,1.96551e-06
1.86347,1.37596e-06
1.86385,8.77478e-07
1.86499,1.92554e-06
1.86593,1.57908e-06
1.86642,1.33857e-06
1.86758,1.164e-06
1.86879,1.12447e-06
1.87971,8.02648e-06
1.88964,9.90184e-07
1.89051,3.78206e-06
1.89142,4.40662e-06
1.89298,5.19768e-06
1.89571,7.39506e-06
1.89646,3.42143e-06
1.89748,1.1204e-05
1.89781,2.06902e-06
1.89862,8.72257e-07
1.89928,2.54438e-06
1.90024,2.52095e-06
1.90094,3.28361e-06
1.90194,3.89385e-06
1.90288,3.74395e-06
1.90374,4.90137e-06
1.90462,4.3402e-06
1.90545,4.80679e-06
1.90625,3.97165e-06
1.90701,4.58759e-06
1.90777,4.13645e-06
1.90852,4.11659e-06
1.90925,4.889e-06
1.91008,3.80702e-06
1.91081,4.13024e-06
1.91158,4.14691e-06
1.91234,3.24437e-06
1.91301,3.07839e-06
1.91384,2.28884e-06
1.91451,2.44411e-06
1.91531,2.15304e-06
1.91563,5.08947e-06
1.91786,2.64278e-06
1.91851,2.92066e-07
1.91853,3.78402e-07
1.91902,1.0975e-05
1.92203,3.93803e-06
1.92322,5.03832e-07
1.92547,1.11734e-05
1.92851,2.78405e-06
1.92953,3.79912e-06
1.93021,9.29712e-06
1.93215,3.31627e-06
1.93282,2.52195e-06
1.93295,3.77709e-06
1.93342,1.72176e-06
1.93392,2.92447e-06
1.93442,2.59659e-06
1.93478,6.15191e-06
1.9355,3.56935e-06
1.93603,2.87961e-06
1.93655,4.00635e-06
1.93711,1.81684e-06
1.93757,7.18813e-06
1.93852,2.1849e-06
1.93909,2.1316e-06
1.93962,2.28553e-06
1.94023,2.75394e-06
1.94108,6.68335e-06
1.94216,9.90646e-07
1.94256,2.35116e-06
1.94338,1.51756e-05
1.94565,1.52886e-05
1.94831,1.12164e-06
1.94892,6.79525e-07
1.9498,3.43659e-06
1.95155,4.68927e-06
1.95784,3.76858e-05
1.95888,1.2118e-06
1.96075,2.41546e-06
1.9614,2.26639e-06
1.96203,2.63045e-06
1.96278,4.6201e-06
1.96388,1.44074e-06
1.96444,4.18317e-06
1.96461,5.44576e-06
1.96543,4.21574e-06
1.96611,7.62754e-06
1.96777,5.01047e-06
1.96794,3.36837e-06
1.96858,3.91929e-06
1.96887,3.15819e-06
1.96914,4.27371e-06
1.96943,3.07227e-06
1.96971,3.30406e-06
1.97003,2.92966e-06
1.9701,5.32207e-06
1.97058,5.77976e-06
1.97086,1.91453e-05
1.9717,4.36263e-06
1.97264,1.35033e-06
1.97306,2.45397e-06
1.9737,3.28973e-06
1.9737,5.8792e-06
1.9739,9.29328e-07
1.97534,8.35897e-06
1.97638,7.24397e-07
1.97708,5.73811e-06
1.97788,2.4896e-05
1.97989,2.7095e-06
1.98035,2.21122e-06
1.98086,3.59769e-06
1.98116,8.91235e-06
1.98225,5.65802e-06
1.98322,3.05705e-06
1.98339,1.9299e-06
1.98451,7.33332e-06
1.98458,2.99384e-05
1.98635,5.80924e-06
1.98737,1.07939e-05
1.98791,2.40625e-07
1.98879,6.80175e-06
1.99017,3.75223e-06
1.99024,4.4985e-06
1.9918,6.81179e-06
1.99188,9.88873e-06
1.99333,8.2863e-06
1.99453,1.15068e-05
1.99493,1.16037e-06
1.99496,1.7322e-06
1.99615,6.06273e-06
1.99773,1.06016e-05
1.99968,1.60606e-05
2.00349,3.48058e-05
2.00839,1.49313e-05
2.01129,8.34704e-06
