PPM,Amp
1.03794,5.10236e-09
1.1424,9.06644e-09
1.22204,3.80058e-08
1.2857,7.08473e-09
1.33753,2.53758e-08
1.3812,3.24485e-08
1.41744,5.10966e-07
1.45034,7.00407e-08
1.47866,7.57996e-08
1.50366,7.83188e-08
1.5262,5.72497e-07
1.54594,5.85679e-07
1.56436,5.92571e-07
1.58027,5.09818e-07
1.59521,6.27213e-07
1.60945,5.1959e-07
1.6232,5.33776e-07
1.63437,6.80154e-07
1.64515,8.57073e-07
1.65604,7.64944e-07
1.66595,7.60026e-07
1.67456,7.45335e-07
1.68302,7.69027e-07
1.69112,7.1187e-07
1.69889,7.40558e-07
1.70629,7.035e-07
1.71306,6.62665e-07
1.71903,7.61971e-07
1.72549,5.8411e-07
1.73103,7.06583e-07
1.73665,8.40023e-07
1.74218,7.86082e-07
1.74754,6.91228e-07
1.7519,8.72066e-07
1.75716,6.61204e-07
1.76149,7.13082e-07
1.76558,7.71336e-07
1.77021,6.9846e-07
1.7741,6.34109e-07
1.77765,7.53693e-07
1.78144,7.24163e-07
1.78498,6.85262e-07
1.78862,6.04188e-07
1.79191,6.54425e-07
1.79513,6.59442e-07
1.79812,7.07541e-07
1.8012,7.55901e-07
1.80419,6.83198e-07
1.80693,9.55511e-07
1.80971,9.94723e-07
1.81247,1.02983e-06
1.81515,1.03445e-06
1.81764,1.12827e-06
1.82006,1.13095e-06
1.8224,1.28106e-06
1.82489,1.03774e-06
1.8271,1.15826e-06
1.82929,1.15898e-06
1.83148,1.1824e-06
1.83356,1.13128e-06
1.83562,1.00054e-06
1.83759,1.0179e-06
1.83947,9.53448e-07
1.84134,1.15325e-06
1.84328,9.58723e-07
1.84503,9.76466e-07
1.84686,6.93413e-07
1.84867,6.58954e-07
1.84883,5.36391e-07
1.85033,8.02218e-07
1.85092,1.12504e-07
1.85203,8.48301e-07
1.85358,9.1233e-07
1.85516,7.88718e-07
1.85664,7.92826e-07
1.85815,5.92575e-07
1.85958,3.71038e-07
1.85974,3.62555e-07
1.86095,6.66159e-07
1.8625,3.67019e-07
1.86273,3.09644e-07
1.86386,2.12533e-07
1.86406,3.21832e-07
1.8653,3.13903e-07
1.8665,8.4266e-07
1.86668,8.66516e-07
1.86794,5.77737e-07
1.86919,8.16694e-07
1.87039,5.84125e-07
1.87173,8.11159e-07
1.87284,7.73941e-07
1.8741,8.20628e-07
1.87534,9.61728e-07
1.87644,9.41898e-07
1.87769,1.21133e-06
1.87878,1.37748e-06
1.87991,1.40541e-06
1.88096,1.12316e-06
1.88194,1.48145e-06
1.88304,1.56277e-06
1.88404,1.25473e-06
1.88514,1.6762e-06
1.88602,1.0749e-06
1.88695,2.02902e-06
1.88801,1.20731e-06
1.88889,1.76342e-06
1.88979,1.46105e-06
1.89069,1.87367e-06
1.89157,1.49097e-06
1.89247,1.68252e-06
1.89336,1.54073e-06
1.89425,1.60303e-06
1.89513,1.49852e-06
1.89592,1.31152e-06
1.89668,1.4922e-06
1.89759,1.41337e-06
1.89838,1.19414e-06
1.89919,1.48273e-06
1.89999,1.05408e-06
1.9006,9.3782e-07
1.90078,9.67066e-07
1.90147,9.43826e-07
1.90208,8.305e-07
1.90226,9.91868e-07
1.90297,9.08414e-07
1.90358,1.09941e-06
1.90377,4.70207e-07
1.90912,4.71532e-06
1.91667,3.17176e-06
1.91836,1.64789e-06
1.91876,5.58131e-06
1.92004,1.00108e-06
1.92015,7.20208e-06
1.92122,3.78655e-06
1.92158,2.85517e-06
1.92209,2.42628e-06
1.92233,1.99702e-06
1.92268,2.49025e-06
1.92275,2.65729e-06
1.92318,2.86334e-06
1.92397,7.6064e-06
1.92467,2.56446e-06
1.92508,3.54111e-06
1.92558,3.60943e-06
1.92601,2.82956e-06
1.92649,2.11548e-06
1.92689,3.0492e-06
1.92745,3.57136e-06
1.92783,2.48021e-06
1.9283,2.2453e-06
1.92867,2.22628e-06
1.92917,3.23871e-06
1.92958,6.39048e-07
1.92998,1.52621e-06
1.93059,3.86158e-06
1.93126,2.19757e-06
1.93163,8.60528e-07
1.93173,5.65864e-06
1.93211,1.10981e-06
1.93219,1.87969e-06
1.93248,4.5412e-07
1.9326,3.13397e-06
1.93302,2.31397e-06
1.93387,2.52835e-06
1.93425,1.50015e-06
1.93479,3.21419e-06
1.93571,3.46199e-06
1.93652,1.91819e-06
1.93672,2.46429e-06
1.9375,2.40973e-06
1.93757,3.41796e-06
1.93819,2.06154e-06
1.93826,1.72788e-06
1.93889,2.41204e-06
1.93927,2.90987e-06
1.93983,1.57134e-06
1.94022,2.75515e-06
1.94098,2.03718e-06
1.94119,3.49224e-06
1.94147,3.40269e-06
1.94285,1.94093e-06
1.94286,4.79932e-06
1.94345,1.55826e-06
1.94376,9.65413e-07
1.94405,2.09033e-06
1.94434,1.50736e-06
1.94464,1.43199e-06
1.94491,1.3026e-06
1.9453,1.72378e-06
1.94556,1.84676e-06
1.94585,4.65637e-06
1.94685,5.34434e-06
1.94738,1.83029e-06
1.94783,2.40947e-06
1.94816,2.26846e-06
1.94857,1.51369e-06
1.94893,2.90454e-06
1.94896,2.00931e-06
1.9494,1.6902e-06
1.9499,3.34896e-06
1.94993,4.01506e-06
1.95045,3.41171e-06
1.9509,2.81527e-06
1.95127,1.88147e-06
